,Incident year,Number of Dead,Lat,Long
340,2015,123.0,29.81932753, -101.132282
341,2015,1.0,32.92505, -112.80985
342,2015,1.0,33.446545, -112.083092
343,2015,1.0,31.537267, -111.626567
344,2015,2.0,32.628412, -112.711138
345,2015,1.0,32.3797, -112.7411
346,2015,1.0,31.976781, -109.486791
347,2015,1.0,31.76437, -111.61075
348,2015,1.0,32.12695, -112.141385
349,2015,1.0,32.658333, -112.520447
350,2015,1.0,32.927567, -112.678617
351,2015,1.0,33.377383, -113.496817
352,2015,1.0,32.640333, -112.857167
353,2016,1.0,31.81276, -111.40755
354,2016,1.0,31.9148, -112.54042
355,2016,4.0,27.0116055, -98.3848503
356,2016,1.0,32.152887, -111.237689
357,2016,1.0,27.0116055, -98.3848503
358,2016,1.0,27.4531416, -99.6148525
359,2016,1.0,31.8769, -111.78898
360,2016,1.0,32.29187, -113.1067
361,2016,1.0,31.95346, -113.05898
362,2016,1.0,28.6901482, -100.5676516
363,2016,1.0,27.7155889, -99.6987461
364,2016,1.0,25.89901347, -97.4982118607
365,2016,11.0,27.69836, -99.25236
366,2016,1.0,26.1490665, -97.6906534
367,2016,4.0,27.7155889, -99.6987461
368,2016,1.0,26.5475045, -98.8662899
369,2016,1.0,32.5349303, -117.0413138
370,2016,1.0,32.63308, -112.1606
371,2016,1.0,26.3277865, -98.7240038
372,2016,1.0,26.364874, -98.8311192667
373,2016,1.0,24.215586, -99.4332699
374,2016,1.0,31.704, -111.85818
375,2016,1.0,32.20324, -112.95431
376,2016,1.0,31.826717, -112.1373
377,2016,1.0,32.38652, -113.10317
378,2016,1.0,32.2651, -113.10296
379,2016,1.0,32.15192, -113.069
380,2016,1.0,26.376354, -98.3833477
381,2016,1.0,32.7041479, -115.0616912
382,2016,1.0,32.206583, -112.665017
383,2016,1.0,30.3062589, -97.8398485
384,2016,1.0,26.9403821, -97.9181768
385,2016,1.0,27.4214557, -97.8516369
386,2016,1.0,26.376354, -98.3833477
387,2016,1.0,32.0037, -111.705333
388,2016,1.0,32.69266, -114.62762
389,2016,1.0,26.376354, -98.3833477
390,2016,1.0,26.376354, -98.3833477
391,2016,2.0,32.74410414, -114.7250593434
392,2016,1.0,31.3649014, -111.0671389
393,2016,1.0,32.423462, -113.138344
394,2016,1.0,32.329483, -112.115617
395,2016,1.0,27.4531416, -99.6148525
396,2016,1.0,31.6473881, -106.3496958
397,2016,1.0,31.888497, -111.385941
398,2016,1.0,31.95437, -112.14965
399,2016,1.0,31.80408, -112.10063
400,2016,1.0,26.0227177, -98.2979141
401,2016,1.0,27.1334908, -103.434484
402,2016,1.0,32.713283, -112.832183
403,2016,1.0,29.0742604, -110.9591883
404,2016,1.0,26.0525676, -98.3662434
405,2016,1.0,32.657333, -112.754
406,2016,1.0,26.376354, -98.3833477
407,2016,1.0,24.215586, -99.4332699
408,2016,1.0,28.6376735, -100.5282163
409,2016,1.0,24.215586, -99.4332699
410,2016,1.0,32.088883, -111.394867
411,2016,1.0,27.0227822, -98.5412384
412,2016,1.0,27.0227822, -98.5412384
413,2016,1.0,33.0249505, -115.8450245
414,2016,1.0,30.7293161, -112.8733526
415,2016,1.0,31.963317, -112.38265
416,2016,1.0,31.846587, -112.134454
417,2016,1.0,27.0227822, -98.5412384
418,2016,1.0,32.278367, -111.718933
419,2016,1.0,27.7155889, -99.6987461
420,2016,1.0,32.35183, -112.959916
421,2016,1.0,27.1334908, -103.434484
422,2016,1.0,31.82115, -110.18449
423,2016,1.0,28.3084446, -99.1595269
424,2016,1.0,26.376354, -98.3833477
425,2016,1.0,32.6659773, -115.4163051
426,2016,1.0,32.26801, -112.49766
427,2016,1.0,31.8051, -112.12413
428,2016,1.0,31.796, -111.5738
429,2016,1.0,31.765067, -111.625183
430,2016,1.0,32.34286, -113.303
431,2016,1.0,26.376354, -98.3833477
432,2016,1.0,32.43673, -114.42545
433,2016,1.0,31.918734, -112.100464
