Website Date,Number of Dead
2017-03-16,1.0
2017-03-21,1.0
2017-03-29,1.0
2017-03-25,1.0
2017-04-02,1.0
2017-04-07,1.0
2017-04-11,1.0
2017-04-14,1.0
2017-04-15,1.0
2017-04-17,1.0
2017-04-17,1.0
2017-04-19,1.0
2017-04-20,1.0
2017-04-20,1.0
2017-04-20,1.0
2017-04-21,1.0
2017-04-24,1.0
2017-04-26,1.0
2017-05-02,1.0
2017-05-02,1.0
2017-05-03,1.0
2017-05-05,1.0
2017-05-06,1.0
2017-05-06,1.0
2017-05-07,1.0
2017-05-14,1.0
2017-05-15,1.0
2017-05-19,1.0
2017-05-21,1.0
2017-05-22,1.0
2017-05-22,1.0
2017-05-25,1.0
2017-05-25,1.0
2017-05-25,1.0
2017-05-26,1.0
2017-05-27,1.0
2017-05-27,1.0
2017-05-29,1.0
2017-05-29,1.0
2017-05-30,1.0
2017-05-30,1.0
2017-05-31,1.0
2017-05-31,1.0
2017-05-31,1.0
2017-06-06,1.0
2017-06-07,1.0
2017-06-08,1.0
2017-06-10,1.0
2017-06-12,1.0
2017-06-12,1.0
2017-06-12,1.0
2017-06-13,1.0
2017-06-14,1.0
2017-06-15,1.0
2017-06-16,1.0
2017-06-16,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-18,1.0
2017-06-18,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-24,1.0
2017-06-25,1.0
2017-06-26,2.0
2017-06-26,1.0
2017-06-26,1.0
2017-06-27,1.0
2017-06-27,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-29,1.0
2017-06-29,1.0
2017-06-30,1.0
2017-07-02,1.0
2017-07-02,1.0
2017-07-05,1.0
2017-07-05,1.0
2017-07-05,1.0
2017-07-06,1.0
2017-07-06,1.0
2017-07-09,1.0
2017-07-09,1.0
2017-07-10,1.0
2017-07-11,1.0
2017-07-14,1.0
2017-07-15,1.0
2017-07-17,1.0
2017-07-17,1.0
2017-07-17,1.0
2017-07-18,1.0
2017-07-18,1.0
2017-07-20,1.0
2017-07-21,1.0
2017-07-21,1.0
2017-07-23,10.0
2017-07-23,1.0
2017-07-24,5.0
2017-07-24,1.0
2017-07-25,1.0
2017-07-26,1.0
2017-07-26,1.0
2017-07-30,1.0
2017-08-01,1.0
2017-08-02,1.0
2017-08-02,1.0
2017-08-03,1.0
2017-08-06,1.0
2017-08-07,1.0
2017-08-07,1.0
2017-08-10,1.0
2017-08-10,1.0
2017-08-10,2.0
2017-08-11,1.0
2017-08-12,1.0
2017-08-12,1.0
2017-08-13,1.0
2017-08-15,1.0
2017-08-16,1.0
2017-08-18,1.0
2017-08-20,1.0
2017-08-22,1.0
2017-08-22,1.0
2017-08-24,
2017-08-25,1.0
2017-08-25,1.0
2017-08-27,1.0
2017-08-28,1.0
2017-08-29,1.0
2017-08-30,1.0
2017-08-31,1.0
2017-08-31,1.0
2017-09-02,1.0
2017-09-02,1.0
2017-09-04,1.0
2017-09-05,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-09,1.0
2017-09-09,1.0
2017-09-11,1.0
2017-09-12,1.0
2017-09-12,1.0
2017-09-13,1.0
2017-09-14,1.0
2017-09-16,1.0
2017-09-17,2.0
2017-09-18,1.0
2017-09-21,1.0
2017-09-21,1.0
2017-09-22,1.0
2017-09-22,1.0
2017-09-24,1.0
2017-09-25,1.0
2017-09-29,1.0
2017-10-01,1.0
2017-10-03,1.0
2017-10-04,1.0
2017-10-07,1.0
2017-10-08,1.0
2017-10-08,1.0
2017-10-11,1.0
2017-10-19,1.0
2017-10-20,1.0
2017-10-20,1.0
2017-10-20,1.0
2017-10-23,8.0
2017-10-24,1.0
2017-10-27,1.0
2017-10-30,1.0
2017-11-01,1.0
2017-11-03,1.0
2017-11-05,1.0
2017-11-06,1.0
2017-11-06,1.0
2017-11-09,1.0
2017-11-09,1.0
2017-11-11,1.0
2017-11-15,1.0
2017-11-16,1.0
2017-11-17,1.0
2017-11-24,1.0
2017-11-27,1.0
2017-11-28,1.0
2017-11-29,1.0
2017-11-29,1.0
2017-11-30,1.0
2017-12-03,1.0
2017-12-03,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-08,1.0
2017-12-08,1.0
2017-12-09,2.0
2017-12-09,1.0
2017-12-09,2.0
2017-12-09,3.0
2017-12-13,7.0
2017-12-14,1.0
2017-12-18,1.0
2017-12-23,1.0
2017-12-23,1.0
2017-12-30,1.0
2017-12-31,2.0
2017-12-31,1.0
2017-12-31,4.0
2017-12-31,48.0
2017-12-31,3.0
2017-12-31,2.0
2017-12-31,1.0
2017-12-31,2.0
2017-12-31,4.0
2017-04-10,1.0
2017-05-29,1.0
2017-07-19,1.0
2017-09-21,1.0
2017-11-14,1.0
2018-01-02,1.0
2018-01-02,1.0
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-14,1.0
2018-01-15,1.0
2018-01-17,1.0
2018-01-19,1.0
2018-01-19,1.0
2018-01-20,1.0
2018-01-21,1.0
2018-01-21,5.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-26,1.0
2018-01-26,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-03,1.0
2018-02-05,1.0
2018-02-05,1.0
2018-02-05,1.0
2018-02-07,1.0
2018-02-10,1.0
2018-02-12,1.0
2018-02-14,1.0
2018-02-14,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-17,1.0
2018-02-17,1.0
2018-02-18,1.0
2018-02-18,3.0
2018-02-20,1.0
2018-02-23,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-10,1.0
2018-03-11,1.0
2018-03-11,1.0
2018-03-13,1.0
2018-03-13,1.0
2018-03-13,1.0
2018-03-15,1.0
2018-03-18,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-24,1.0
2018-03-27,1.0
2018-03-27,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-29,1.0
2018-04-01,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-03,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-10,1.0
2018-04-12,2.0
2018-04-13,1.0
2018-04-14,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-25,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-29,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-06,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-11,1.0
2018-05-11,1.0
2018-05-12,1.0
2018-05-13,1.0
2018-05-13,1.0
2018-05-16,1.0
2018-05-16,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-19,1.0
2018-05-21,1.0
2018-05-21,1.0
2018-05-23,1.0
2018-05-23,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-26,1.0
2018-05-26,1.0
2018-05-29,1.0
2018-05-29,1.0
2018-05-31,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-02,1.0
2018-06-03,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-07,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-08,1.0
2018-06-09,1.0
2018-06-10,1.0
2018-06-11,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-16,1.0
2018-06-17,1.0
2018-06-17,5.0
2018-06-17,1.0
2018-06-18,1.0
2018-06-18,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-21,1.0
2018-06-21,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-22,1.0
2018-06-23,1.0
2018-06-23,1.0
2018-06-23,1.0
2018-06-23,1.0
2018-06-24,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-26,1.0
2018-06-26,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-27,1.0
2018-06-27,1.0
2018-06-27,1.0
2018-06-29,1.0
2018-06-30,1.0
2018-06-30,1.0
2018-07-01,1.0
2018-07-03,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-06,1.0
2018-07-06,1.0
2018-07-07,1.0
2018-07-07,1.0
2018-07-08,1.0
2018-07-08,1.0
2018-07-09,1.0
2018-07-09,1.0
2018-07-15,1.0
2018-07-15,1.0
2018-07-16,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-21,1.0
2018-07-21,1.0
2018-07-20,1.0
2018-07-22,1.0
2018-07-22,1.0
2018-07-23,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-24,1.0
2018-07-24,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-28,1.0
2018-07-29,1.0
2018-07-30,1.0
2018-07-30,1.0
2018-07-30,1.0
2018-07-30,1.0
2018-07-31,
2018-08-01,1.0
2018-08-01,38.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-05,1.0
2018-08-05,1.0
2018-08-06,1.0
2018-08-07,1.0
2018-08-08,1.0
2018-08-10,1.0
2018-08-12,1.0
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-15,1.0
2018-08-16,1.0
2018-08-17,1.0
2018-08-17,1.0
2018-08-17,1.0
2018-08-18,1.0
2018-08-18,1.0
2018-08-18,1.0
2018-08-19,2.0
2018-08-19,1.0
2018-08-19,1.0
2018-08-21,1.0
2018-08-21,1.0
2018-08-21,1.0
2018-08-23,1.0
2018-08-24,1.0
2018-08-24,1.0
2018-08-25,1.0
2018-08-26,1.0
2018-08-27,1.0
2018-08-27,1.0
2018-08-28,1.0
2018-08-28,1.0
2018-08-28,2.0
2018-08-29,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-01-09,1.0
2018-09-02,1.0
2018-09-03,1.0
2018-09-04,1.0
2018-09-10,1.0
2018-09-11,1.0
2018-09-11,1.0
2018-09-11,1.0
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-15,1.0
2018-09-16,1.0
2018-09-19,1.0
2018-09-19,4.0
2018-09-20,1.0
2018-09-20,1.0
2018-09-20,1.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-21,1.0
2018-09-25,1.0
2018-09-25,1.0
2018-09-25,1.0
2018-09-25,1.0
2018-09-26,1.0
2018-09-26,1.0
2018-09-27,1.0
2018-09-29,1.0
2018-09-30,1.0
2018-09-30,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-06,1.0
2018-10-09,1.0
2018-10-09,1.0
2018-10-10,1.0
2018-10-10,1.0
2018-10-11,1.0
2018-10-13,1.0
2018-10-14,1.0
2018-10-16,1.0
2018-10-16,1.0
2018-10-17,1.0
